Category,Fund,Full Fund Name
Non-filtered Funds,,
,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)
,GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON
,HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)
,IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON
,IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)
,TPP,TEB PORTFÖY PUSULA SERBEST FON
Filtered Funds,,
